id,reporter,report-time,last-modified,status,priority,severity,product,component,summary/subject/title,class,expected result,observed/actual result,reproducible,steps to reproduce,manual,llama,qwen,qwen-coder,link
921708,Yann Droneaud,2013-03-14T18:08:45Z,2016-05-12T12:00:26Z,CLOSED WONTFIX,unspecified,medium,Fedora,coreutils,Improve handling of cp --reflink=always when not supported by destination FS,normal,cp --reflink=always command should fail without creating the destination file (dest),cp: failed to clone `dest' from `source',Always,"$ stat source
  File: `source'
  Size: 172253            Blocks: 344        IO Block: 4096   regular file
Device: fd02h/64770d        Inode: 1704360     Links: 1
Access: (0644/-rw-r--r--)  Uid: ( 1002/ydroneaud)   Gid: ( 1002/ydroneaud)
Access: 2013-03-14 19:05:12.642541940 +0100
Modify: 2013-03-14 19:04:46.787541606 +0100
Change: 2013-03-14 19:04:46.787541606 +0100
 Birth: -
$ cp --reflink=always source dest
cp: failed to clone `dest' from `source': Inappropriate ioctl for device
$ stat dest
  File: `dest'
  Size: 0                 Blocks: 0          IO Block: 4096   regular empty file
Device: fd02h/64770d        Inode: 1707547     Links: 1
Access: (0644/-rw-r--r--)  Uid: ( 1002/ydroneaud)   Gid: ( 1002/ydroneaud)
Access: 2013-03-14 19:07:06.493543407 +0100
Modify: 2013-03-14 19:07:06.493543407 +0100
Change: 2013-03-14 19:07:06.493543407 +0100
 Birth: -","stat source
cp --reflink=always source dest
stat dest","```bash
cp --reflink=always source dest
stat source
stat dest
```",,"```bash
cp --reflink=always source dest
stat dest
```",https://bugzilla.redhat.com/show_bug.cgi?id=921708
981845,JW,2013-07-06T09:18:32Z,2016-05-12T11:42:32Z,CLOSED UPSTREAM,unspecified,unspecified,Fedora,coreutils,rm -I option inadequate,normal,1. -I NUM    prompt once before removing more than NUM files,1. -I     prompt once before removing more than three files,Always,1. man rm,man rm,"```bash
rm -I file1 file2 file3 file4
```","None

The provided Bugzilla entry does not specify any concrete command or test case that can be executed to demonstrate the issue; it mainly describes a preference for how an option should work rather than providing steps to reproduce a specific malfunction in behavior. The ""Steps to Reproduce"" section is incomplete, listing only ""man rm"" as step 1 and having no substantive subsequent steps. Therefore, based on the information given, there are no explicit commands or test cases available to reproduce the described issue.",rm -I a b c d,https://bugzilla.redhat.com/show_bug.cgi?id=981845
1055290,Tom Horsley,2014-01-19T23:32:12Z,2016-05-12T09:59:28Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,nohup gets hup'ed,normal,background job protected from death by nohup,background job killed,Always,"1.install udev scripts in above web page
2.plug in solidoodle to USB port",,"```bash
nohup sleep 5 &
udevadm trigger
```","None

The provided Bug Description does not specify exact commands or a precise test case to reproduce the issue. It describes a scenario involving udev scripts and background tasks that work in one version of Fedora but fail in another, indicating a possible change in behavior between Fedora 19 and Fedora 20. However, without more specific details about the configuration, environment setup, or exact commands from the referenced web page, it is not possible to provide a concrete command or test case for reproducing this bug.",,https://bugzilla.redhat.com/show_bug.cgi?id=1055290
1250113,Nikos Mavrogiannopoulos,2015-08-04T14:30:06Z,2016-05-11T16:09:29Z,CLOSED CURRENTRELEASE,unspecified,unspecified,Fedora,coreutils,coreutils doesn't include a base32 binary,normal,base32 encoding included in Coreutils include as an option,Coreutils does not currently support base32 encoding,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=1250113
890223,Raphaël Flores,2012-12-25T21:49:56Z,2016-05-11T15:42:24Z,CLOSED CURRENTRELEASE,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils-8.15-9.fc17: leave_dir: Process /usr/bin/du was killed by signal 6 (SIGABRT),normal,du' command executed successfully,du' command causes a crash,Always,,du -sh 6e56p56v.default/,"```bash
du -sh -sh 6e56p56v.default/
```",du -sh -sh 6e56p56v.default/,du -sh -sh 6e56p56v.default/,https://bugzilla.redhat.com/show_bug.cgi?id=890223
1334898,Eric Sammons,2016-05-10T18:31:42Z,2016-05-11T05:27:58Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,ls shows files and directories with spaces surrounded by tic marks,normal,Test File,Test File',Always,"1. mkdir Test\ Dir
2. ls","mkdir Test\ Dir
ls
","```bash
mkdir 'Test Dir'
ls
```",mkdir Test\ Dir; ls,,https://bugzilla.redhat.com/show_bug.cgi?id=1334898
1149761,Zbigniew Jędrzejewski-Szmek,2014-10-06T14:57:21Z,2016-04-25T11:55:33Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,root login in emergency mode shows errors,normal,temporary file created successfully in the /tmp,failure to create the file due to the read-only file system,,,,"```bash
mktemp /tmp/.colorlsXXX
```",,"```bash
mktemp /tmp/.colorlsXXX
echo ""test"" > ""$TMP""
```",https://bugzilla.redhat.com/show_bug.cgi?id=1149761
1323163,Harald Hoyer,2016-04-01T12:25:54Z,2016-04-06T15:20:20Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,get rid of openssl-libs,,,,,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=1323163
1319594,Peng Wu,2016-03-21T07:35:59Z,2016-03-25T06:35:15Z,CLOSED UPSTREAM,unspecified,unspecified,Fedora,coreutils,"[CJK] when use ""ls -lh"", the date/time format is incorrect.",normal,"总用量 168K
-rw-rw-r--. 1 guest guest 165K 3月21日 14:27 coreutils.po","总用量 168K
-rw-rw-r--. 1 guest guest 165K 3月  21 14:27 coreutils.po
",Always,"1. log-in with Simplified Chinese locale
2. run ""ls -lh""","export LANG=zh_CN.UTF-8
ls -lh
","```
LC_ALL=zh_CN.UTF-8 ls -lh
```","```bash
LC_ALL=zh_CN.UTF-8 ls -lh
```","```bash
export LANG=zh_CN.UTF-8 && ls -lh
```",https://bugzilla.redhat.com/show_bug.cgi?id=1319594
706605,Denys Vlasenko,2011-05-21T14:38:33Z,2016-03-17T12:52:30Z,CLOSED CURRENTRELEASE,low,low,Fedora,coreutils,"Please fix and improve ""od --help""/""man od"" wrt -w and -S options",normal,-S option clearly showing the correct usage,-S incorrectly states that the required parameter(--strings[=BYTES]) is optional,Always,,"od --help
man od","```bash
od --help
man od
od -S file.txt
od -S=10 file.bin
od -w file.txt
od -w=10 file.txt
```","None

The provided bug description discusses issues with documentation clarity and behavior of options but does not specify exact commands or test cases needed to reproduce any functional bugs directly. The concerns are primarily about how the `-S` and `-w` options are documented, rather than a failure in functionality that can be reproduced with specific commands.",,https://bugzilla.redhat.com/show_bug.cgi?id=706605
1314722,Matteo Melli,2016-03-04T10:40:59Z,2016-03-05T21:22:10Z,CLOSED RAWHIDE,unspecified,high,Fedora,coreutils,cut does a strange cut,normal,zip,"https://github.com/dmak/jaxb-xew-plugin/archive/release-1.0.zip
jaxb-xew-plugin-release-1.0",Always,"1. Execute shell command:
echo ""https://github.com/dmak/jaxb-xew-plugin/archive/release-1.0.zip|zip|jaxb-xew-plugin-release-1.0|com.github.jaxb-xew-plugin:jaxb-xew-plugin:jar:1.0""|cut -d'|' -f2","echo ""https://github.com/dmak/jaxb-xew-plugin/archive/release-1.0.zip|zip|jaxb-xew-plugin-release-1.0|com.github.jaxb-xew-plugin:jaxb-xew-plugin:jar:1.0"" | cut -d'|' -f2
","```bash
echo ""https://github.com/dmak/jaxb-xew-plugin/archive/release-1.0.zip|zip|jaxb-xew-plugin-release-1.0|com.github.jaxb-xew-plugin:jaxb-xew-plugin:jar:1.0""|cut -d'|' -f2
```","echo ""https://github.com/dmak/jaxb-xew-plugin/archive/release-1.0.zip|zip|jaxb-xew-plugin-release-1.0|com.github.jaxb-xew-plugin:jaxb-xew-plugin:jar:1.0""|cut -d'|' -f2","echo ""https://github.com/dmak/jaxb-xew-plugin/archive/release-1.0.zip|zip|jaxb-xew-plugin-release-1.0|com.github.jaxb-xew-plugin:jaxb-xew-plugin:jar:1.0""|cut -d'|' -f2",https://bugzilla.redhat.com/show_bug.cgi?id=1314722
586029,John Sullivan,2010-04-26T16:31:10Z,2016-02-22T12:47:48Z,CLOSED ERRATA,low,medium,Fedora,coreutils,LS_COLORS setup in /etc/profile.d has insufficient escaping,normal,Shell startup time would ideally be as independent as possible of the current directory,Shell is slow to start if the current directory is slow to enumerate,Always,"1. cd to a large directory (I noticed this in /usr/share/man/man3)
2. echo exit | script -c ""strace -f bash 2>&1"" /dev/stdout | less
3. search for blocks of consecutive getdents calls. Two instances of scanning /etc/profile.d can be ignored. After these the next instance is a scan of the current directory.","cd /usr/share/man/man3
echo exit | script -c ""strace -f bash 2>&1"" /dev/stdout | less
/getdents","```bash
cd /usr/share/man/man3; echo exit | script -c ""strace -f bash 2>&1"" /dev/stdout | less
```","cd /usr/share/man/man3; echo exit | script -c ""strace -f bash 2>&1"" /dev/stdout | less

None of the steps provided directly pinpoint a coreutils command causing the issue but rather describe how to observe the unnecessary directory scan during shell startup. The given step will reproduce the observed behavior where unnecessary scanning occurs, indicating the presence of the bug.","```bash
cd /usr/share/man/man3 && echo exit | script -c ""strace -f bash 2>&1"" /dev/stdout | less
```",https://bugzilla.redhat.com/show_bug.cgi?id=586029
1306393,vvs,2016-02-10T17:16:47Z,2016-02-17T03:49:40Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,unexpand chokes on empty lines,normal,it should successfully process all lines.,unexpand: input line is too long,Always,"1. echo >test.txt
2. unexpand test.txt","echo >test.txt
unexpand test.txt","```bash
echo -e ""\n\n"" > test.txt; unexpand test.txt
```","echo >test.txt  
unexpand test.txt",echo > test.txt && unexpand test.txt,https://bugzilla.redhat.com/show_bug.cgi?id=1306393
1304839,Sandro Mani,2016-02-04T18:29:24Z,2016-02-15T12:43:06Z,CLOSED RAWHIDE,unspecified,unspecified,Fedora,coreutils,cut with coreutils-i18n-cut.patch broken if field width >= 64 chars,normal,should correctly display the third field based on the colon delimiter whether the field is short or long,fails to process fields wider than 63 characters correctly,Always,"$ echo 'a_long_field_wider_than_sixty_three_characters_XXXXXXXXXXXXXXXX::foo' > test
$ cut -d':' -f 3 test
a_long_field_wider_than_sixty_three_characters_XXXXXXXXXXXXXXXX

$ echo 'a_shorter_field::foo' > test
$ cut -d':' -f 3 test
foo","echo 'a_long_field_wider_than_sixty_three_characters_XXXXXXXXXXXXXXXX::foo' > test
cut -d':' -f 3 test
echo 'a_shorter_field::foo' > test
cut -d':' -f 3 test","```bash
echo 'a_long_field_wider_than_sixty_three_characters_XXXXXXXXXXXXXXXX::foo' > test; cut -d':' -f 3 test
echo 'a_shorter_field::foo' > test; cut -d':' -f 3 test
```","echo 'a_long_field_wider_than_sixty_three_characters_XXXXXXXXXXXXXXXX::foo' > test
cut -d':' -f 3 test

echo 'a_shorter_field::foo' > test
cut -d':' -f 3 test",,https://bugzilla.redhat.com/show_bug.cgi?id=1304839
1304071,George R. Goffe,2016-02-02T19:31:58Z,2016-02-03T08:23:33Z,CLOSED NOTABUG,unspecified,medium,Fedora,coreutils,possible sort bug,normal,sort'command should accept both -S 3g and -S3g as valid input,"error message for ""-S 3g"" but NOT for ""-S3g""",Always,"# this seems to work

sort -T $sorttmp -S""3g"" -uk1 | egrep -v '^$' | egrep '\.com' < 1000s > 1000s.srtd

# this does not note the blank after ""-S""

sort -T $sorttmp -S ""3g"" -uk1 | egrep -v '^$' | egrep '\.com' < 1000s > 1000s.srtd

sort: cannot read: 3g: No such file or directory

which sort

/bin/sort","sort -T $sorttmp -S""3g"" -uk1 | egrep -v '^$' | egrep '\.com' < 1000s > 1000s.srtd
sort -T $sorttmp -S ""3g"" -uk1 | egrep -v '^$' | egrep '\.com' < 1000s > 1000s.srtd","```bash
sort -T /tmp -S""3g"" -uk1 < input.txt
sort -T /tmp -S ""3g"" -uk1 < input.txt
```","sort -T $sorttmp -S ""3g"" -uk1 | egrep -v '^$' | egrep '\.com' < 1000s > 1000s.srtd","sort -T $sorttmp -S ""3g"" -uk1 < 1000s > 1000s.srtd",https://bugzilla.redhat.com/show_bug.cgi?id=1304071
1249695,Viktor Jancik,2015-08-03T15:09:04Z,2016-02-01T02:25:52Z,CLOSED NOTABUG,unspecified,low,Fedora,coreutils,Install utility manpage references yum instead of dnf,normal,"Should mention dnf
",Mentions yum,Always,"1. $man install
2. /yum","man install
","$ man install | grep yum 
$ man install | grep dnf",,$ man install,https://bugzilla.redhat.com/show_bug.cgi?id=1249695
1298736,Richard Geary,2016-01-14T21:04:13Z,2016-01-18T00:44:26Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,[abrt] coreutils: set_program_name(): cat killed by SIGABRT,normal,gtest application should run successfully without crashing and the set_program_name function,failure in the set_program_name function,Always,,,,,,https://bugzilla.redhat.com/show_bug.cgi?id=1298736
1297464,Yeasah Pell,2016-01-11T15:21:44Z,2016-01-15T23:24:06Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,mv data loss when destination directory appears in source list more than once,normal,"mv: cannot move 'test' to a subdirectory of itself, 'test/test'
mv: will not create hard link 'test/test' to directory 'test/test'
(and the directory remains unchanged with contents intact)
","mv: cannot move 'test' to a subdirectory of itself, 'test/test'
mv: warning: source directory 'test' specified more than once
(and the directory and all contents are destroyed)",Always,"1. mkdir test
2. mv test test test","mkdir test
mv test test test","```bash
mkdir test
mv test test test
```","mkdir test
mv test test test","```bash
mkdir test && mv test test test
```",https://bugzilla.redhat.com/show_bug.cgi?id=1297464
1013171,JW,2013-09-28T00:08:37Z,2016-01-04T14:47:53Z,CLOSED EOL,unspecified,unspecified,Fedora,coreutils,"rm gets concept of ""write-protected"" wrong",normal,"root should also be prompted, just like an ordinary user","As a non-root user result is prompt ""remove write-protected regular empty file 'testfile'"".
For root user the result is silent removal of file.",Always,"1. touch testfile
2. chmod -w testfile
3. rm testfile
","touch testfile
chmod -w testfile
rm testfile
","```bash
touch testfile; 
chmod 0444 testfile; 
sudo rm testfile
```","None

The steps provided in the bug report are descriptions of how to set up a scenario and what happens, but they do not directly state a command that would be used to test for the bug specifically as requested. The scenario setup is:
1. `touch testfile`
2. `chmod -w testfile`
3. `rm testfile`

However, these steps are more explanatory in nature and describe both how to set up the environment and what behavior occurs based on user permissions. Since there isn't a single command or explicit test case given that isolates the bug for direct reproduction (beyond setting up the scenario), ""None"" is provided as per instruction if no specific reproducible command or test case exists.",,https://bugzilla.redhat.com/show_bug.cgi?id=1013171
1199679,Tom Horsley,2015-03-07T00:21:42Z,2016-01-04T14:43:55Z,CLOSED NEXTRELEASE,unspecified,unspecified,Fedora,coreutils,df -l stats everything and can hang on NFS mountpoints,normal,"No hang, it shouldn't be touching anything on the network.
",Hang when there is network or server trouble,Always,"1.run strace df -l -h on a system with network mounts.
2.grep the strace output for stat() calls.
3.see stat() calls for every single network mount as well as the local ones.","strace df -l -h
strace df -l -h 2>&1 | grep stat",strace df -l -h,strace df -l -h,strace df -l -h | grep stat\(,https://bugzilla.redhat.com/show_bug.cgi?id=1199679
1196642,Lubomir Rintel,2015-02-26T12:45:08Z,2016-01-04T14:43:16Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,DIR_COLORS.256color ls colors hard to read with white and dark gray background,normal,Directories and symbolic links should be displayed with readable color variants,DIR_COLORS.256color uses dark variants of the colors for directories and links which are sometimes hard to read,Always,,"gnome-terminal -- bash -c 'export TERM=xterm-256color; bash'
xterm -bg white -e 'export TERM=xterm-256color; bash'","```
LS_COLORS=$(/etc/profile.d/dir_colors.256color.sh) ls -l --color=always
```",,,https://bugzilla.redhat.com/show_bug.cgi?id=1196642
1027279,Pádraig Brady,2013-11-06T13:15:15Z,2016-01-04T14:41:28Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,"colorls.csh errors out if ""noclobber"" is set",normal,/etc/profile.d/colorls.csh script successfully write to the temporary file regardless of the noclobber setting,/etc/profile.d/colorls.csh script fails with the error /tmp/.colorlsXXX: File exists. when noclobber is enabled,Always,,"echo ""set -o noclobber"" >> ~/.bashrc
source ~/.bashrc
/etc/profile.d/colorls.csh","```bash
set -o noclobber
mktemp /tmp/.colorlsXXX
echo ""test"" > /tmp/.colorlsXXX
```","None

The provided Bug Description does not include specific commands or a test case that can be directly executed to reproduce the bug. The issue revolves around modifications in script behavior due to shell settings and script interactions, but no explicit command sequence is given for reproduction.","To reproduce the bug, you can use the following command sequence:

```bash
set noclobber
/tmp/profile.d/colorls.csh
```

This sets the `noclobber` option in the shell and then runs the script that is known to cause issues when `noclobber` is set.",https://bugzilla.redhat.com/show_bug.cgi?id=1027279
1270480,Ali Akcaagac,2015-10-10T09:22:39Z,2015-10-14T15:09:00Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,*fatal* sort broken: yet again!,normal,correctly ordered text data,"incorrect sorting, introducing unexpected spaces",Always,,"cat > input.txt <<EOF
b
c
a
d
f
                      : e
e
h
g
EOF
sort input.txt > old.txt # using coreutils 8.23-9 
sort input.txt > new.txt # using coreutils 8.23-11
diff -ruN old.txt new.txt > diff.txt
cat diff.txt","```
sort -k 1 old.txt > sorted_old.txt
sort -k 1 new.txt > sorted_new.txt
diff -ruN sorted_old.txt sorted_new.txt > diff.txt
```","None

The provided bug report does not specify exact commands or a precise test case that would allow one to directly reproduce the issue. The developer mentions differences observed between two versions of coreutils through attached files (`old.txt` and `new.txt`) but doesn't provide an explicit command for reproducing the erroneous behavior with the sort utility itself.",,https://bugzilla.redhat.com/show_bug.cgi?id=1270480
920806,Daniel Berrangé,2013-03-12T19:56:38Z,2015-07-21T18:20:27Z,CLOSED RAWHIDE,unspecified,unspecified,Fedora,coreutils,df command misses out NFS mounts,normal,df shows all usage for every single mount point that the 'mount' command reports,df only shows usage for one random mount,Always,"1. Export multiple NFS volumes from a remote server
2. Mount all volumes on the client
3. Run 'df'","sudo exportfs -o rw,sync /export/vol1 client_IP
sudo mount -t nfs server_IP:/export/vol1 /mnt/vol1
df","```bash
# Set up NFS server and client environment (not provided in detail)
# Export multiple NFS volumes from a remote server
# Mount all volumes on the client
mount nas.example.com:/Photos /mnt/Photos -t nfs
mount nas.example.com:/Download /mnt/Download -t nfs
mount nas.example.com:/Multimedia /mnt/Multimedia -t nfs
mount nas.example.com:/VirtualMachines /mnt/VirtualMachines -t nfs
mount nas.example.com:/Backups /mnt/Backups -t nfs

# Run 'df'
df | grep nas
```","None

The provided description outlines a sequence of steps but does not offer a specific and direct command or test case that can be executed independently to reproduce the issue. The reproducibility requires setting up an NFS server with multiple exports, mounting these on a client system, and then observing the behavior with `df`, which is not a self-contained test case within the scope of coreutils alone but involves external configurations (NFS setup).",,https://bugzilla.redhat.com/show_bug.cgi?id=920806
1243572,Michael S. Tsirkin,2015-07-15T19:45:03Z,2015-07-16T12:25:36Z,CLOSED CANTFIX,unspecified,unspecified,Fedora,coreutils,relative date broken in date,normal,should give a date 3 days from now at midnight,gives todays' date,Always,"1. date +%F --date=""00:00:00 +3 days""","date +%F --date=""00:00:00 +3 days""
","date +%F --date=""00:00:00 +3 days""","date +%F --date=""00:00:00 +3 days""","date +%F --date=""00:00:00 +3 days""",https://bugzilla.redhat.com/show_bug.cgi?id=1243572
1135583,Paul Moore,2014-08-29T17:21:10Z,2015-07-08T12:25:12Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,coreutils-8.23 changes the output formatting of SELinux label information,normal,"Similar output.
","<< Original behavior (coreutils-8.22)
# rpm -q coreutils
coreutils-8.22-11.el7.x86_64
# ls -Z foo
-rw-r--r--. root root root:object_r:user_tmp_t:s0      foo
# ls -lZ foo
-rw-r--r--. root root root:object_r:user_tmp_t:s0      foo
<< New behavior (coreutils-8.23)
# rpm -q coreutils
coreutils-8.23-3.fc22.x86_64
# ls -Z foo
unconfined_u:object_r:user_tmp_t:s0 foo
# ls -lZ foo
-rw-r--r--. 1 root root unconfined_u:object_r:user_tmp_t:s0 0 Aug 29 13:11 foo",Always,Compare the output of 'ls -Z' using coreutils-8.22 to coreutils-8.23.,"rpm -q coreutils
ls -Z foo
ls -lZ foo",ls -Z foo; ls -lZ foo,"ls -Z foo  
ls -lZ foo","```bash
ls -Z foo
ls -lZ foo
```",https://bugzilla.redhat.com/show_bug.cgi?id=1135583
1235873,rvcsaba,2015-06-26T00:35:44Z,2015-06-28T13:06:45Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,Version sort generate bad order,normal,Correct order.,First and second row changed.,Always,,"echo -e ""version-1.2.10\nversion-1.2.2\nversion-1.2.3\nversion-1.10.1\nversion-1.2.20"" > sortbug.txt
cat sortbug.txt
sort -rV sortbug.txt","```bash
sort -rV sortbug.txt
```","sort -rV sortbug.txt

cat sortbug.txt 
NetworkManager-1.0.0-5.fc22
NetworkManager-0.9.10.0-8.git20140704.fc22
NetworkManager-1.0.0-8.fc22
NetworkManager-1.0.0-9.fc22
NetworkManager-1.0.4-0.1.git20150618.8cffaf3bf5.fc22
NetworkManager-0.9.10.0-10.git20140704.fc22
NetworkManager-1.0.0-7.fc22
NetworkManager-0.9.10.0-14.git20140704.fc22
NetworkManager-0.9.10.0-13.git20140704.fc22
NetworkManager-1.0.2-1.fc22
NetworkManager-1.0.0-1.fc22
NetworkManager-1.0.4-0.1.git20160624.f245b49a.fc22
NetworkManager-1.0.0-4.fc22
NetworkManager-1.0.0-6.fc22
NetworkManager-1.0.0-3.fc22
NetworkManager-0.9.10.0-11.git20140704.fc22
NetworkManager-0.9.10.0-6.git20140704.fc22
NetworkManager-0.9.10.0-12.git20140704.fc22","```bash
echo -e ""NetworkManager-1.0.4-0.1.git20150618.8cffaf3bf5.fc22\nNetworkManager-1.0.4-0.1.git20160624.f245b49a.fc22"" | sort -rV
```",https://bugzilla.redhat.com/show_bug.cgi?id=1235873
1146185,Göran Uddeborg,2014-09-24T17:34:20Z,2015-05-30T15:37:30Z,CLOSED ERRATA,unspecified,unspecified,Fedora,coreutils,"""sort"" looks at more than the flags specify in non-C locales",normal,"sort: using ‘en_US.utf8’ sorting rules
sort->strcoll(""a b"", ""a-b-c"")                    = -1
a b!x
___
a-b-c!x
_____
+++ exited (status 0) +++","sort: using ‘en_US.utf8’ sorting rules
sort->strcoll(""a b!x"", ""a-b-c!x"")                = 21
a-b-c!x
_____
a b!x
___
+++ exited (status 0) +++",Always,"1. printf 'a b!x\na-b-c!x\n' | LANG=en_US.utf8 ltrace -e strcoll sort -s --debug -k1,1 -t!
","printf 'a b!x\na-b-c!x\n' | LANG=en_US.utf8 ltrace -e strcoll sort -s --debug -k1,1 -t!
","```bash
printf 'a b!x\na-b-c!x\n' | LANG=en_US.utf8 sort -s -k1,1 -t!
```","printf 'a b!x\na-b-c!x\n' | LANG=en_US.utf8 sort -s --debug -k1,1 -t!","printf 'a b!x\na-b-c!x\n' | LANG=en_US.utf8 sort -s --debug -k1,1 -t!",https://bugzilla.redhat.com/show_bug.cgi?id=1146185
1169027,(GalaxyMaster),2014-11-29T05:06:18Z,2015-05-30T15:37:23Z,CLOSED ERRATA,unspecified,low,Fedora,coreutils,missing %lang info for LC_TIME locale subdirs,normal,,,Always,"[root@localhost ~]# rpm -ql --queryformat '[%{FILELANGS}\t%{FILENAMES}\n]' coreutils | grep LC_TIME | head -5
	/usr/share/locale/af/LC_TIME
af	/usr/share/locale/af/LC_TIME/coreutils.mo
	/usr/share/locale/be/LC_TIME
be	/usr/share/locale/be/LC_TIME/coreutils.mo
	/usr/share/locale/bg/LC_TIME
[root@localhost ~]# rpm -qf /usr/share/locale/af
filesystem-3.2-18.el7.x86_64
[root@localhost ~]# rpm -qf /usr/share/locale/af/LC_MESSAGES
filesystem-3.2-18.el7.x86_64
[root@localhost ~]# rpm -qf /usr/share/locale/af/LC_TIME
coreutils-8.22-11.el7.x86_64
[root@localhost ~]#","rpm -ql --queryformat '[%{FILELANGS}\t%{FILENAMES}\n]' coreutils | grep LC_TIME | head -5  
rpm -qf /usr/share/locale/af  
rpm -qf /usr/share/locale/af/LC_MESSAGES  
rpm -qf /usr/share/locale/af/LC_TIME  
","```bash
rpm -ql --queryformat '[%{FILELANGS}\t%{FILENAMES}\n]' coreutils | grep LC_TIME | head -5
rpm -qf /usr/share/locale/af
rpm -qf /usr/share/locale/af/LC_MESSAGES
rpm -qf /usr/share/locale/af/LC_TIME
```","None

The provided steps are more about identifying the ownership issue rather than reproducing a functional bug in coreutils or filesystem packages. The reported issue is related to package management and directory ownership, not a functional error that can be reproduced with specific commands or input data.","```bash
rpm -ql --queryformat '[%{FILELANGS}\t%{FILENAMES}\n]' coreutils | grep LC_TIME | head -5
rpm -qf /usr/share/locale/af/LC_TIME
```",https://bugzilla.redhat.com/show_bug.cgi?id=1169027
1177515,ljm,2014-12-28T12:05:10Z,2015-05-30T06:49:23Z,CLOSED INSUFFICIENT_DATA,unspecified,low,Fedora,coreutils,Cat end-of-file processing,normal,"/verlaine/home/vbox/VDI/ton/Logs/VBox.log.2’
‘/home/vbox/VDI/ton/ton.vbox-prev’ -> ‘/room/wdbook1/nfs/Public/backup/verlaine/home/vbox/VDI/ton/ton.vbox-prev’
[ljm@verlaine ~]$ ","/verlaine/home/vbox/VDI/ton/Logs/VBox.log.2’
‘/home/vbox/VDI/ton/ton.vbox-prev’ -> ‘/room/wdbook1/nfs/Public/backup/verlaine/home/vbox/VDI/ton/ton.vbox-prev’
��Tpts/0�[n`�ZHd\H�6ZH�d\Hl?�YH�d\HМd\HМd\H�6ZHP�a\HМd\H �d\Мd\H`�ޣ�0�a\HX�ޣ��d\H��6ZH�d\H�d\H�c\H�d\H��d\?��T:0[ljm@verlaine ~]$ ",Always,"1. Start a process that produces output. In my case: cp -vrup /home/* /room/wdbook1/nfs/Public/backup/verlaiine/home >> /var/log/lastbackup
2.After a while, do a cat of that file.","cp -vrup /home/* /room/wdbook1/nfs/Public/backup/verlaiine/home >> /var/log/lastbackup  
cat /var/log/lastbackup  
","```bash
cp -vrup /home/* /room/wdbook1/nfs/Public/backup/verlaine/home >> /var/log/lastbackup &
cat /var/log/lastbackup
```","sudo cp -vrup /home/* /room/wdbook1/nfs/Public/backup/verlaiine/home >> /var/log/lastbackup
sudo cat /var/log/lastbackup",,https://bugzilla.redhat.com/show_bug.cgi?id=1177515
1207314,Pavel Lisý,2015-03-30T16:49:17Z,2015-03-30T17:22:21Z,CLOSED NOTABUG,unspecified,unspecified,Fedora,coreutils,tr does not work with file ':' in current directory,normal,ABC,abc,Always,"1. echo > :
2. echo abc | tr [:lower:] [:upper:]
3. rm \:","echo > :
echo abc | tr '[:lower:]' '[:upper:]'
rm \:","```bash
echo > :
echo abc | tr [:lower:] [:upper:]
rm \:
```","echo > :
echo abc | tr [:lower:] [:upper:]
rm \:",,https://bugzilla.redhat.com/show_bug.cgi?id=1207314
239501,Simon Perreault,2007-05-08T23:12:39Z,2014-05-15T20:53:06Z,CLOSED WORKSFORME,medium,low,Fedora,coreutils,Colors are too dark,normal,Directory colors are light blue.,"Directory colors are dark blue.
",Always,"Type ""ls /""","ls /
",ls /,,,https://bugzilla.redhat.com/show_bug.cgi?id=239501
